United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.1,2.8,2.0,2.9,1.9,3.0,1,7.8,6.0,9.6,5.7,9.9,5.6,10.0,1,1.8,1.8,2.3,1.7,2.4,1.7,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.3,2.2,1.7,2.3,1.9,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.5,11.2,16.9,11.1,17.5,11.1,17.9
1991,1,6.5,6.5,8.4,6.2,8.9,6.0,9.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.2,1.7,1.1,1.8,1,3.2,2.7,3.8,2.6,3.9,2.4,4.2,1,7.0,5.6,8.0,5.3,8.5,4.9,8.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,18.1,16.1,21.7,15.3,23.0,14.4,24.1
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.7,6.2,7.5,5.8,7.8,5.3,8.0,2,62.3,55.6,67.6,53.5,69.9,52.5,71.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.1,4.5,5.6,4.4,5.8,4.3,6.0,7,74.1,66.3,80.7,63.7,83.5,62.1,85.3
1993,1,2.6,2.6,3.1,2.5,3.3,2.4,3.3,1,43.0,30.4,40.9,28.5,42.9,27.3,44.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.1,1.3,1.0,1.4,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.8,2.0,2.9,1.9,3.1,1.9,3.2,1,11.3,10.5,12.0,10.2,12.4,9.6,13.0,5,61.0,46.6,60.2,44.1,63.1,42.1,65.2
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.8,1.8,3.0,1.8,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.0,1.7,2.1,1.6,2.2,1,2.0,1.7,2.3,1.6,2.4,1.6,2.5,1,1.4,1.2,1.7,1.2,1.8,1.0,2.0,2,8.1,7.0,8.7,6.7,9.0,6.6,9.0,6,15.5,13.7,17.5,13.0,18.3,12.6,18.8
1995,1,1.9,1.7,2.1,1.4,2.4,1.2,2.6,1,4.9,3.0,4.7,2.8,5.0,2.7,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11.6,8.9,12.1,8.3,12.9,7.9,13.3,3,14.5,13.4,17.1,12.9,18.4,12.5,19.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,32.9,27.0,36.0,25.4,38.7,24.3,40.1
1996,1,3.4,3.3,4.4,3.1,4.7,3.0,5.0,1,1.9,1.8,2.6,1.7,2.7,1.6,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.3,8.5,11.0,8.0,11.5,7.6,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.7,4.6,6.2,4.4,6.5,4.3,6.8,4,20.3,18.2,24.2,17.2,25.4,16.5,26.4
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.3,11.4,16.6,10.7,17.4,9.9,18.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.7,1.9,1.6,2.1,1.5,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.1,13.1,18.5,12.3,19.5,11.4,20.4
1998,1,6.4,5.4,6.6,5.2,7.0,5.1,7.2,1,1.7,1.5,2.1,1.4,2.3,1.3,2.4,1,4.5,3.7,5.4,3.5,5.5,3.5,5.6,3,6.7,6.1,7.1,5.9,7.5,5.8,7.8,3,13.8,11.8,15.6,11.3,16.4,10.9,16.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,2.1,2.5,2.0,2.6,1.9,2.9,10,35.6,30.6,39.3,29.3,41.3,28.5,42.7
1999,1,4.4,4.1,4.7,4.0,4.9,3.9,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5,3.0,3.8,2.9,4.0,2.8,4.2,1,11.3,9.9,12.2,9.5,12.8,9.3,13.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.4,3.4,3.9,3.0,4.3,2.9,4.7,5,22.6,20.4,24.6,19.4,26.0,18.9,27.0
2000,1,8.6,8.0,9.4,7.8,9.7,7.7,9.9,1,1.5,0.9,1.6,1.1,1.8,0.9,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.6,2.1,1.5,2.2,1.5,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.7,2.1,1.6,2.1,1.6,2.3,1,1.2,1.0,1.3,0.9,1.4,0.8,1.5,5,14.3,13.2,16.5,12.9,17.2,12.5,17.9
